word,pos
sand_stargazer,nouns
Cyrus_the_Elder,nouns
varus,nouns
Robinson_Jeffers,nouns
flight_control,nouns
Nestor,nouns
blusterer,nouns
Blixen,nouns
family_Mytilidae,nouns
Clement_Attlee,nouns
poppy,nouns
Monothelitism,nouns
cochlea,nouns
Capreolus,nouns
contraction,nouns
Michigander,nouns
ScD,nouns
pilot_ladder,nouns
cytochrome_c,nouns
percolation,nouns
burlap_bag,nouns
C_battery,nouns
rugby_ball,nouns
wave_angle,nouns
Ovis_montana_dalli,nouns
wheelbase,nouns
bopeep,nouns
make-work,nouns
haik,nouns
lower_mantle,nouns
Calendula_officinalis,nouns
tritheism,nouns
peculiarity,nouns
hempen_necktie,nouns
Delphinapterus_leucas,nouns
family_Usneaceae,nouns
utility_revenue_bond,nouns
endemic_typhus,nouns
pussly,nouns
wakening,nouns
dry_kiln,nouns
odd-pinnate_leaf,nouns
dry_quart,nouns
cohune_nut,nouns
Adriatic_Sea,nouns
bighead,nouns
packing_case,nouns
gunrunner,nouns
metrorrhagia,nouns
vapours,nouns
thyrotrophic_hormone,nouns
saltbush,nouns
Laotian,nouns
dermatomyositis,nouns
horseshoe_bat,nouns
raglan,nouns
Nederland,nouns
Moghul,nouns
tab,nouns
Florentine_iris,nouns
halocarbon,nouns
maildrop,nouns
sprag,nouns
United_States_waters,nouns
Lycoperdon,nouns
low_gallberry_holly,nouns
chain_store,nouns
Borassus,nouns
grump,nouns
boon,nouns
Rau-Sed,nouns
fern_family,nouns
harpist,nouns
genus_Tinca,nouns
white-tailed_kite,nouns
welcomer,nouns
Amanita_mappa,nouns
sex_kitten,nouns
universe,nouns
figure_of_speech,nouns
polarography,nouns
Ailurus_fulgens,nouns
TRF,nouns
Grindelia_robusta,nouns
shack,nouns
disjunction,nouns
Santolina_chamaecyparissus,nouns
Penstemon_barbatus,nouns
seriocomedy,nouns
Cladrastis_lutea,nouns
spinal_anesthetic,nouns
peepul,nouns
vena_trachealis,nouns
bearskin,nouns
genus_Liopelma,nouns
Centennial_State,nouns
New_Mexican,nouns
CFO,nouns
Tringa_melanoleuca,nouns
exophthalmic_goiter,nouns
spirogyra,nouns
hogg,nouns
castrate,nouns
Asplenium_rhizophyllum,nouns
witness_box,nouns
Saint_Anthony's_fire,nouns
okra_plant,nouns
lion_marmoset,nouns
manumission,nouns
myxobacterium,nouns
Centropus,nouns
Atarax,nouns
loft,nouns
interplanetary_space,nouns
Solomon_Islands,nouns
Boston_Tea_Party,nouns
acculturation,nouns
ides,nouns
gelly,nouns
water_gum,nouns
physiography,nouns
space-time_continuum,nouns
Digitalis_lutea,nouns
epigraph,nouns
antitussive,nouns
genus_Dinornis,nouns
Toyonaki,nouns
plasterer's_float,nouns
pine_mouse,nouns
Clinton,nouns
fuzee,nouns
James_Bernoulli,nouns
left_hemisphere,nouns
Gulf_of_Bothnia,nouns
Molucella,nouns
senselessness,nouns
keratodermia,nouns
home_stand,nouns
JDAM,nouns
golden_oriole,nouns
standard-bearer,nouns
wild_sheep,nouns
Shona,nouns
authoritarian,nouns
seed_weevil,nouns
Lone-Star_State,nouns
bog_pimpernel,nouns
curved_shape,nouns
chestnut-bark_disease,nouns
zinc_vitriol,nouns
shop_girl,nouns
nativism,nouns
phantom_limb_syndrome,nouns
Mencken,nouns
family_Dasyurinae,nouns
Isuprel,nouns
fluegelhorn,nouns
kinsperson,nouns
paper-back_book,nouns
Marcus_Aurelius,nouns
cartel,nouns
genus_Pongamia,nouns
grand_mal,nouns
factuality,nouns
whisk,nouns
silicon,nouns
Floreal,nouns
homolosine_projection,nouns
Phaseolus_caracalla,nouns
genus_Barbarea,nouns
adios,nouns
fencer,nouns
transverse_colon,nouns
rill,nouns
Rumex_scutatus,nouns
ice_yacht,nouns
pentlandite,nouns
Park_Avenue,nouns
mortality_rate,nouns
paranoiac,nouns
Burmeisteria_retusa,nouns
depth_finder,nouns
Tadirida_femorosacca,nouns
ruga,nouns
Mexico_City,nouns
Cystopteris_bulbifera,nouns
lifetime,nouns
Schlumbergera_truncatus,nouns
rifle_ball,nouns
vocal_music,nouns
hypnotherapy,nouns
Lampris,nouns
addiction,nouns
fluorouracil,nouns
orinasal,nouns
Myxine,nouns
public-service_corporation,nouns
sheep_plant,nouns
Lavandula_officinalis,nouns
Virginia_serpentary,nouns
arcuate_artery_of_the_kidney,nouns
class_Insecta,nouns
drey,nouns
John_Steinbeck,nouns
face_mask,nouns
kieserite,nouns
demonolatry,nouns
saiga,nouns
polarimeter,nouns
Cacicus,nouns
filiation,nouns
Republican_Party,nouns
Francois_Marie_Charles_Fourier,nouns
bow_leg,nouns
Carolina_hemlock,nouns
debility,nouns
magnetic_compass,nouns
corposant,nouns
Senecio_doublasii,nouns
grizzly_bear,nouns
muttonhead,nouns
nonstop_flight,nouns
Riyadh,nouns
tollgatherer,nouns
Pterois,nouns
inquietude,nouns
acyclovir,nouns
wake_board,nouns
manus,nouns
Utopianism,nouns
Viyella,nouns
scoinson_arch,nouns
department_of_chemistry,nouns
commissioned_military_officer,nouns
Wild_Bill_Hickock,nouns
George_Otto_Trevelyan,nouns
Citellus_leucurus,nouns
Polynemidae,nouns
discipleship,nouns
kinetochore,nouns
water_jump,nouns
Ivry_la_Bataille,nouns
Sphenodon_punctatum,nouns
Copernicus,nouns
lorica,nouns
epiphysis_cerebri,nouns
wrester,nouns
wellpoint,nouns
gall_gnat,nouns
myotic,nouns
cirripede,nouns
plumb_line,nouns
side_street,nouns
Tofieldia,nouns
regulation_time,nouns
lap_of_luxury,nouns
Chaetodipterus,nouns
quarantine,nouns
farmyard,nouns
chiseler,nouns
terms,nouns
surrenderer,nouns
temporary_state,nouns
Henry_IV,nouns
pullulation,nouns
horse_opera,nouns
Synchytriaceae,nouns
unsavoriness,nouns
North_American,nouns
Prunus_subhirtella,nouns
onion,nouns
Nyssa_aquatica,nouns
lamphouse,nouns
angelology,nouns
acoustic_buoy,nouns
Tracheophyta,nouns
tow_car,nouns
perspirer,nouns
transient,nouns
security_intelligence,nouns
lacrimal_sac,nouns
Lozier,nouns
property_tax,nouns
herpes_zoster_virus,nouns
Bohemian,nouns
24,nouns
milliequivalent,nouns
archine,nouns
march,nouns
metaphysics,nouns
fumigator,nouns
balanitis,nouns
Klemens_Metternich,nouns
bad_block,nouns
American_feverfew,nouns
trick_or_treat,nouns
color_of_law,nouns
Frau,nouns
Chinese_puzzle,nouns
snobbery,nouns
genus_Urginea,nouns
batting_glove,nouns
Blastomyces,nouns
Gregor_Mendel,nouns
fuchsia,nouns
autofluorescence,nouns
economy_of_scale,nouns
platyrrhinian,nouns
forehand_drive,nouns
fern_ally,nouns
